"result_creator","result_id","task_id","num_annot","inside","resized","outer","inner","wap","wtr"
"gelerutec",309,1622,1,False,False,"","","",""
"juchlibnaltyve",310,1622,2,True,True,6.894510748468945,2.7546817152988408,60.04529087273423,0.18395131258275343
"admezdachar",311,1622,1,False,True,"","","",""
"ekpiteri",312,1622,2,True,True,17.81184623530548,2.975020536005085,83.29751729998549,0.2956566449574729
"ardoro",313,1622,2,True,True,13.136399889073049,4.153676157534241,68.38040716932424,0.21884349184717525
"tiradcharedqiraslesyr",314,1622,1,False,False,"","","",""
"itseidlaelextu",315,1622,1,False,False,"","","",""
"gelerutec",316,1622,1,False,False,"","","",""
"vumaemof",317,1622,2,True,True,12.032082989026662,2.4950214192507465,79.26359532654301,0.27231378679497864
"catafewechu",318,1622,2,True,True,14.448872904149518,1.843202400378587,87.24327902525016,0.321417239250608
"vudichtinechutiniqe",319,1622,1,False,False,"","","",""
"lesdohanusre",320,358,1,False,False,"","","",""
"tiradcharedqiraslesyr",321,358,1,False,False,"","","",""
"gelerutec",322,358,1,False,False,"","","",""
"omquadowro",323,358,1,False,False,"","","",""
"hedeohfule",324,358,3,False,False,"","","",""
"itseidlaelextu",325,358,1,False,False,"","","",""
"sozeched",326,358,1,False,False,"","","",""
"gelerutec",327,358,1,False,False,"","","",""
"itseidlaelextu",328,358,1,False,False,"","","",""
"gelerutec",329,358,1,False,False,"","","",""
"juchlibnaltyve",330,358,2,True,True,19.2890314995735,10.255733186762075,46.83126943419197,0.13541554282372362
"admezdachar",331,358,1,False,True,"","","",""
"ekpiteri",332,358,1,False,False,"","","",""
"ardoro",333,358,1,False,False,"","","",""
"tiradcharedqiraslesyr",334,358,1,False,False,"","","",""
"itseidlaelextu",335,358,1,False,False,"","","",""
"gelerutec",336,358,1,False,False,"","","",""
"vumaemof",337,358,1,False,False,"","","",""
"catafewechu",338,358,1,False,False,"","","",""
"vudichtinechutiniqe",339,358,1,False,False,"","","",""
"lesdohanusre",340,1920,1,False,False,"","","",""
"tiradcharedqiraslesyr",341,1920,1,False,False,"","","",""
"gelerutec",342,1920,1,False,False,"","","",""
"omquadowro",343,1920,1,False,False,"","","",""
"hedeohfule",344,1920,1,False,False,"","","",""
"itseidlaelextu",345,1920,1,False,False,"","","",""
"sozeched",346,1920,1,False,False,"","","",""
"gelerutec",347,1920,1,False,False,"","","",""
"itseidlaelextu",348,1920,1,False,False,"","","",""
"gelerutec",349,1920,1,False,False,"","","",""
"juchlibnaltyve",350,1920,2,True,True,7.146120159201486,2.3110601036540657,67.65993221261051,0.21565835783608178
"admezdachar",351,1920,1,False,True,"","","",""
"ekpiteri",352,1920,1,False,False,"","","",""
"ardoro",353,1920,1,False,False,"","","",""
"tiradcharedqiraslesyr",354,1920,1,False,False,"","","",""
"itseidlaelextu",355,1920,1,False,False,"","","",""
"gelerutec",356,1920,1,False,False,"","","",""
"vumaemof",357,1920,1,False,False,"","","",""
"catafewechu",358,1920,1,False,False,"","","",""
"vudichtinechutiniqe",359,1920,1,False,False,"","","",""
"lesdohanusre",360,2000,2,True,True,38.518884098928964,15.801913803598733,58.97619006040179,0.17975083942499473
"tiradcharedqiraslesyr",361,2000,2,True,True,42.81769924737997,17.17770886557945,59.88175645231437,0.18330518022990328
"gelerutec",362,2000,1,False,False,"","","",""
"omquadowro",363,2000,5,False,True,"","","",""
"hedeohfule",364,2000,1,False,False,"","","",""
"itseidlaelextu",365,2000,1,False,False,"","","",""
"sozeched",366,2000,2,True,True,44.061279471872126,24.85745952826565,43.58434474392834,0.12444822175873116
"gelerutec",367,2000,1,False,False,"","","",""
"itseidlaelextu",368,2000,1,False,False,"","","",""
