"result_creator","result_id","task_id","num_annot","inside","resized","outer","inner"
"tiradcharedqiraslesyr",9564,880,1,False,False,"",""
"ludenkisedadadeldoch",9565,880,1,False,False,"",""
"lesdohanusre",9566,880,1,False,False,"",""
"nafapotquawaj",9567,880,1,False,False,"",""
"ludenkisedadadeldoch",9568,880,1,False,False,"",""
"lesdohanusre",9569,880,1,False,False,"",""
"lesdohanusre",9570,880,1,False,False,"",""
"lesdohanusre",9571,880,1,False,False,"",""
"itseidlaelextu",9572,880,1,False,False,"",""
"catafewechu",9573,880,1,False,False,"",""
"catafewechu",9574,880,1,False,False,"",""
"lesdohanusre",9575,880,1,False,False,"",""
"dotrutole",9576,880,1,False,False,"",""
"diajerxites",9577,880,1,False,False,"",""
"dotrutole",9578,880,1,False,False,"",""
"catafewechu",9579,880,1,False,False,"",""
"tiradcharedqiraslesyr",9580,1565,1,False,False,"",""
"ludenkisedadadeldoch",9581,1565,1,False,False,"",""
"itseidlaelextu",9582,1565,1,False,False,"",""
"obtaochronbi",9583,1565,2,True,True,24.490430366547873,11.601514242315401
"tiradcharedqiraslesyr",9584,1565,1,False,False,"",""
"ludenkisedadadeldoch",9585,1565,1,False,False,"",""
"lesdohanusre",9586,1565,1,False,False,"",""
"nafapotquawaj",9587,1565,2,False,False,23.75829444277282,23.75829444277282
"ludenkisedadadeldoch",9588,1565,1,False,False,"",""
"lesdohanusre",9589,1565,1,False,False,"",""
"lesdohanusre",9590,1565,1,False,False,"",""
"lesdohanusre",9591,1565,1,False,False,"",""
"itseidlaelextu",9592,1565,1,False,False,"",""
"catafewechu",9593,1565,1,False,False,"",""
"catafewechu",9594,1565,1,False,False,"",""
"lesdohanusre",9595,1565,2,True,True,37.48277814825518,8.668940896449765
"dotrutole",9596,1565,1,False,False,"",""
"diajerxites",9597,1565,2,False,True,33.2880628009117,14.338609697330082
"dotrutole",9598,1565,1,False,False,"",""
"catafewechu",9599,1565,1,False,False,"",""
"noiger",9600,63,2,False,True,18.052561457912642,6.674343668062834
"ducira",9601,63,1,False,True,"",""
"ducira",9602,63,2,True,True,29.358982094223656,8.894785904109321
"icdirheumleevvi",9603,63,4,False,False,"",""
"ygaxzavrivetawloit",9604,63,2,True,False,23.75829444277282,12.571076599769377
"vusaapro",9605,63,2,True,True,19.718979457975315,8.185360880474896
"dotrutole",9606,63,2,True,True,27.097411555405507,9.842101386376314
"lesdohanusre",9607,63,2,True,True,28.033143334083253,6.483055403816253
"gelerutec",9608,63,1,False,False,"",""
"lesdohanusre",9609,63,2,True,True,30.77220252973264,8.073208182149038
"dotrutole",9610,63,2,False,True,28.014261596001504,11.891175442895353
